post_id,date,caption,has_question,hashtags,likes,comments,saves,post_type,topic,engagement
f9772709-147e-4f60-abb6-f21e234d51f1,2025-05-25T13:05:01.142773,Quia reprehenderit ipsa nihil reiciendis omnis. Mulai dari kecil tapi konsisten itu kuncinya 💪,False,#keuangan #edukasikeuangan #keuangankeluarga,1262,92,0,Image,Keuangan Keluarga,1354
7fd3d91d-9c53-45a4-a4a0-cd60ae17fe24,2025-09-15T13:52:01.142773,Necessitatibus dolorum totam exercitationem explicabo fugit nobis nostrum eum est. Mulai dari kecil tapi konsisten itu kuncinya 💪,False,#keuangan #edukasikeuangan #asuransi,390,0,0,Reel,Asuransi,390
00b4e894-2d88-464b-9c52-5bb2d513386e,2025-09-19T18:11:01.142773,"Suscipit minima occaecati occaecati pariatur suscipit tempora atque impedit minus commodi possimus natus. Jangan cuma kerja, pelajari investasi juga untuk masa depan",False,#keuangan #edukasikeuangan #budgeting,2301,0,52,Reel,Budgeting,2353
6520bb10-97b2-452b-9e7f-7e8730f63ce8,2025-08-03T02:57:01.142773,Siapa yang masih bingung mulai investasi dari mana? Yuk tulis di komen! 💬,True,#keuangan #edukasikeuangan #budgeting,892,60,0,Reel,Budgeting,952
70bb0bc3-c7d8-4162-a945-2a509538444d,2025-04-25T15:14:01.142773,Totam laborum consequatur saepe est illo. Financial freedom bukan mimpi kalau kamu disiplin menabung 🚀,False,#keuangan #edukasikeuangan #tabungan,840,0,18,Reel,Tabungan,858
9f4adde3-ff8e-4c3a-bf98-d5f3823415b8,2025-09-20T06:16:01.142773,Ada yang sudah punya dana darurat? Berapa bulan tabunganmu?,True,#keuangan #edukasikeuangan #motivasifinansial,1204,55,3,Reel,Motivasi Finansial,1262
15e22594-992e-4b4a-a3de-0d015e098754,2025-08-13T19:52:01.142773,"Pernah nggak ngerasa pengeluaran 'bocor'? Cerita, dong! 🕳️💸",True,#keuangan #edukasikeuangan #budgeting,1163,59,34,Image,Budgeting,1256
e0935b84-84f5-4ef2-bc18-c6b9e0fa53f9,2025-04-27T02:05:01.142773,"Tenetur beatae labore porro doloremque eveniet quia rem. Jangan cuma kerja, pelajari investasi juga untuk masa depan",False,#keuangan #edukasikeuangan #budgeting,1719,18,0,Image,Budgeting,1737
c9660a63-2250-4032-a0bd-c42745af9fdd,2025-05-28T15:29:01.142773,"Sunt voluptate earum molestiae quam porro delectus id. Bijak kelola uang, biar uang yang kerja untukmu 🔁",False,#keuangan #edukasikeuangan #investasi,2644,0,77,Reel,Investasi,2721
c8628a68-f639-4619-ac39-fe532ccfc60c,2025-05-11T16:02:01.142773,Ada yang sudah punya dana darurat? Berapa bulan tabunganmu?,True,#keuangan #edukasikeuangan #motivasifinansial,423,5,0,Reel,Motivasi Finansial,428
59da709e-e0fd-412b-ac94-08688d605ebf,2025-07-02T04:44:01.142773,Dolore quibusdam id cupiditate dolorem ullam saepe explicabo esse. Mulai dari kecil tapi konsisten itu kuncinya 💪,False,#keuangan #edukasikeuangan #budgeting,1100,0,11,Reel,Budgeting,1111
1469ed0f-9008-42c5-aaf7-f246d56e4d7a,2025-05-19T10:14:01.142773,"Odio sed natus tempore voluptate nostrum temporibus modi vel sequi necessitatibus ipsam. Bijak kelola uang, biar uang yang kerja untukmu 🔁",False,#keuangan #edukasikeuangan #asuransi,1373,0,87,Carousel,Asuransi,1460
f1103ee2-0d1b-4c11-9bc9-87f558a29018,2025-07-24T00:33:01.142773,Maaak… kalian lebih pilih nabung atau bayar hutang dulu? 🤔,True,#keuangan #edukasikeuangan #investasi,1347,12,187,Reel,Investasi,1546
4bc9d4c7-d161-4e5e-8d65-dc655d616030,2025-09-07T06:45:01.142773,"At repudiandae rerum dignissimos maiores recusandae molestiae ducimus laborum ipsum aperiam enim praesentium. Bijak kelola uang, biar uang yang kerja untukmu 🔁",False,#keuangan #edukasikeuangan #asuransi,1460,34,85,Reel,Asuransi,1579
7f6868ae-85e0-4679-8d93-9d9f0a21ed6c,2025-07-30T16:48:01.142773,Unde eius incidunt animi ratione architecto ratione. Mulai dari kecil tapi konsisten itu kuncinya 💪,False,#keuangan #edukasikeuangan #keuangankeluarga,804,1,76,Reel,Keuangan Keluarga,881
